milestone,sprint,name,description,acceptance_criteria,tests_validation,priority,estimated_hours,depends_on,status
M0.1,0,Create GitHub monorepo (KAL Solutions),"As CTO, I need to set up the GitHub repository under KAL Solutions org with a monorepo structure: /mobile (React Native), /functions (Cloud Functions), /admin (web admin panel), /shared (types/utils). Code stays in KAL repo; pushed to client remote after each paid milestone.","- GitHub repo created under KAL Solutions org with branch protection on main
- Monorepo structure with mobile/, functions/, admin/, shared/ directories
- .gitignore configured for RN, Node, and environment files
- README with project overview and setup instructions
- Client remote configured (push after milestone payment)","- Clone repo, verify structure
- Verify branch protection rules
- Verify .gitignore excludes node_modules, .env, build artifacts",3,2,,Not Started
M0.1,0,Configure CI/CD pipelines,"Set up CI/CD for automated builds. EAS Build for React Native (iOS + Android), GitHub Actions for Cloud Functions deployment, and linting/testing on PR.","- GitHub Actions workflow for Cloud Functions (lint + deploy to dev)
- EAS Build configuration for iOS and Android
- PR checks: lint + type check
- Deploy scripts for staging and production","- Push to develop branch triggers CI
- EAS build runs successfully for both platforms
- Functions deploy to dev Firebase project",3,3,,Not Started
M0.1,0,Set up environment separation,"Create dev/staging/production environment configurations. Environment variables for Firebase config, API keys, and feature flags.","- .env.dev, .env.staging, .env.production files templated
- Firebase project aliases configured (dev, production)
- EAS build profiles for dev/preview/production
- Secrets stored securely (not in repo)","- Build app with dev config, verify connects to dev Firebase
- Build with production config, verify different project",3,2,,Not Started
M0.1,0,Import tasks into KAL CRM,"Import MOOVIZ-TASKS.csv into KAL CRM project. Verify milestones and task dependencies are correctly mapped.","- KAL CRM project created for MOOVIZ
- All tasks imported from CSV
- Milestones M0-M4 set up
- Task dependencies configured","- Verify all tasks visible in KAL CRM
- Verify milestone grouping correct",4,1,,Not Started
M0.2,0,Create Firebase projects (dev + production),"Set up two Firebase projects: mooviz-dev and mooviz-prod. Enable Auth, Firestore, Functions, Storage, FCM. Configure billing alerts.","- Two Firebase projects created and configured
- All required services enabled
- Billing alerts set at $50/$100/$200
- Firebase CLI configured with project aliases","- firebase use dev — connects to dev project
- firebase use prod — connects to prod project
- All services visible in Firebase console",1,3,,Not Started
M0.2,0,Configure Firebase Authentication,"Enable phone (SMS) and email OTP providers. Configure SMS templates. Set up authorized domains. Test with Firebase Auth emulator.","- Phone auth provider enabled
- Email link auth enabled
- SMS template configured (Hebrew + English)
- Auth emulator working locally","- Send OTP to test phone number
- Verify OTP succeeds
- Test with emulator locally",1,2,,Not Started
M0.2,0,Set up Firestore and Security Rules baseline,"Initialize Firestore in both projects. Deploy baseline security rules that deny all by default. Enable emulator for local development.","- Firestore initialized in both projects
- Default deny-all security rules deployed
- Firestore emulator configured
- Composite indexes placeholder","- Attempt read without auth — denied
- Emulator starts and accepts writes
- Rules deploy without errors",1,2,,Not Started
M0.2,0,Set up Cloud Storage and FCM,"Configure Cloud Storage buckets for images (proof photos, profile pics, item photos). Enable FCM for push notifications.","- Storage bucket created with folder structure
- Storage security rules (authenticated uploads only)
- FCM enabled, APNs key uploaded for iOS
- Android FCM config added","- Upload test file via Firebase console
- Verify storage rules block unauthenticated access
- FCM test message sends successfully",2,2,,Not Started
M0.3,0,Initialize React Native project,"Create React Native project (Expo managed or bare). Configure TypeScript, ESLint, Prettier. Set up path aliases and project structure.","- RN project runs on iOS simulator and Android emulator
- TypeScript configured with strict mode
- ESLint + Prettier configured
- Folder structure: screens/, components/, services/, hooks/, utils/, types/","- npx expo start / react-native run-ios works
- No TypeScript errors
- Lint passes",2,3,,Not Started
M0.3,0,Set up navigation structure,"Configure React Navigation with tab navigator (bottom tabs for Sender and Driver) and stack navigators for each flow. Support RTL.","- Bottom tab navigator with role-based tabs
- Stack navigators for: Auth, Home, Deliveries, Feed, Chat, Profile, Settings
- RTL layout support verified
- Deep linking scaffold","- Navigate through all major screens (placeholder)
- RTL mode shows correct layout direction
- Tab bar switches based on user role",2,3,,Not Started
M0.3,0,Build base component library,"Create reusable UI components: Button, TextInput, Card, Modal, Avatar, Badge, Rating Stars, Status Badge, LoadingIndicator, EmptyState, ErrorState.","- All base components created with props
- Theme system (colors, typography, spacing)
- RTL-aware components
- Storybook or test screen showing all components","- Render each component in test screen
- Verify RTL layout
- Theme colors apply correctly",2,4,,Not Started
M0.3,0,Integrate Google Maps SDK,"Add Google Maps to React Native project. Get API keys, configure for iOS and Android. Create base MapView component.","- Google Maps SDK integrated
- API key configured for both platforms
- Base MapView component renders
- Marker and region components ready","- Map renders on iOS and Android
- Markers display at coordinates
- Map responds to gestures",2,3,,Not Started
M1.1,1,Implement OTP login flow (SMS),"Core authentication: user enters phone number, receives SMS OTP, enters code, gets authenticated. This is the gate to everything — no auth means no app.","- Phone input screen with country code selector
- OTP verification screen (6-digit code)
- Firebase Auth phone sign-in working
- Loading states during OTP send/verify
- Error handling: invalid number, wrong code, expired code, rate limit","- Enter valid phone → receive SMS → enter code → authenticated
- Enter wrong code → error message shown
- Resend OTP after timeout works
- Invalid phone number shows validation error",1,6,M0.2,Not Started
M1.1,1,Implement OTP login flow (Email),"Alternative auth path: email link authentication. User enters email, receives magic link or code, gets authenticated.","- Email input screen
- Email link / OTP verification
- Firebase Auth email sign-in working
- Fallback when SMS not available","- Enter email → receive link/code → verify → authenticated
- Invalid email shows error
- Email resend works",2,4,M0.2,Not Started
M1.1,1,Implement auth state persistence,"Persist authentication state so users don't need to re-login. Handle token refresh, session expiry, and logout.","- Auth state persisted across app restarts
- Token auto-refresh working
- Logout clears session
- Deep link to login if session expired","- Close app, reopen → still logged in
- Logout → returns to login screen
- After 1 hour → still authenticated (token refreshed)",1,3,M0.2,Not Started
M1.2,1,Build registration form screen,"One-time registration for new users. All required fields from spec. Multi-step form for better UX. Validation on each step.","- Multi-step registration form
- All fields: name, phone, email, city, role, profile photo, ID/license photo
- Field validations per spec (name 2-60 chars, phone format, etc.)
- Terms + privacy consent checkbox (required)
- Progress indicator","- Fill all fields correctly → proceeds to next step
- Skip required field → validation error shown
- Phone format validation works for Israeli + international
- Terms unchecked → cannot proceed",1,8,"M1.1,M0.3",Not Started
M1.2,1,Implement profile photo upload,"Profile photo upload from camera or gallery. Resize/compress before upload. Default avatar if none provided.","- Camera capture option
- Gallery selection option
- Image resize/compress before upload
- Upload to Cloud Storage
- Default avatar for no-photo users","- Take photo → preview → upload → shown in profile
- Select from gallery → same flow
- Skip photo → default avatar shown
- Large image compressed before upload",2,4,M0.2,Not Started
M1.2,1,Implement KYC-Light (ID/license upload),"Upload ID card or driver license photo for admin verification. Camera or gallery import. Stored securely.","- Photo capture/import for ID document
- Stored in Cloud Storage with user reference
- KYC status field on user profile: pending/approved/rejected
- Admin can view uploaded document","- Upload ID photo → stored with correct user reference
- User profile shows KYC status
- Admin panel shows uploaded document",2,4,M0.2,Not Started
